# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
0	0	79981
1	0	80183
2	0	85864
3	0	92521
4	0	99447
5	0	106868
6	0	114505
7	0	122588
8	0	131031
9	0	139619
10	0	148432
11	0	157394
12	0	166535
13	0	175714
14	0	184440
15	0	192884
16	0	200430
17	0	207209
18	0	213132
19	0	217980
20	0	221572
21	0	224178
22	0	225821
23	0	226524
24	0	226653
25	0	226168
26	0	225556
27	0	224634
28	0	223774
29	0	222949
30	0	222244
31	0	221093
32	0	220313
33	0	219803
34	0	219096
35	0	219050
36	0	218451
37	0	218296
38	0	218156
39	0	217864
40	0	217414
41	0	217161
42	0	217021
43	0	216758
44	0	216545
45	0	216451
46	0	216404
47	0	216225
48	0	216259
49	0	216059
50	0	216112
51	0	216205
52	0	216158
53	0	216189
54	0	216208
55	0	216316
56	0	216731
57	0	216844
58	0	217004
59	0	217306
60	0	217396
61	0	217379
62	0	217363
63	0	217391
64	0	217409
65	0	217646
66	0	217710
67	0	217783
68	0	217581
69	0	217750
70	0	217814
71	0	218192
72	19	218051
73	25	217879
74	29	217719
75	55	217781
76	64	217897
77	81	217784
78	111	218082
79	156	217972
80	193	217913
81	245	218050
82	333	218017
83	442	218146
84	546	218015
85	689	218049
86	858	217946
87	1070	217737
88	1262	217882
89	1554	217980
90	1828	217878
91	2142	218030
92	2484	218041
93	2834	218040
94	3136	217880
95	3439	218004
96	3867	218021
97	4263	218015
98	4646	217780
99	5135	217759
100	5583	217772
101	5964	217716
102	6405	217840
103	6832	217908
104	7232	217979
105	7703	218086
106	8072	218080
107	8604	218203
108	9056	217988
109	9523	217907
110	9901	217995
111	10303	217813
112	10670	217775
113	11076	217612
114	11441	217832
115	11892	217839
116	12297	217650
117	12620	217807
118	12937	217841
119	13163	217699
120	13665	217756
121	14005	217800
122	14342	217732
123	14507	217653
124	14625	217674
125	15003	217750
126	15282	217636
127	15388	217751
128	15659	217878
129	15851	217869
130	16164	217621
131	16236	217531
132	16396	217525
133	16575	217471
134	16676	217515
135	16841	217786
136	16972	217660
137	17003	217760
138	17175	217806
139	17034	217885
140	17100	218150
141	17172	218286
142	17302	218090
143	17410	218070
144	17442	218123
145	17588	217971
146	17572	217838
147	17829	217912
148	17733	217991
149	17785	218018
150	17600	217994
151	17504	217866
152	17473	217850
153	17440	217987
154	17373	218136
155	17214	218185
156	17136	218056
157	16998	218184
158	16830	218131
159	16683	217908
160	16445	217883
161	16260	217975
162	16073	217964
163	15783	217928
164	15271	217840
165	14822	217870
166	14388	217692
167	13855	217541
168	13537	217371
169	13010	217422
170	12363	217084
171	11882	216876
172	11230	216803
173	10614	216836
174	10084	216956
175	9433	217050
176	8841	216856
177	8376	216881
178	7815	216889
179	7187	216727
180	6742	216734
181	6275	216544
182	5802	216418
183	5445	216596
184	5079	216523
185	4764	216296
186	4521	216476
187	4253	216641
188	4116	216784
189	3926	216819
190	3839	216769
191	3686	217037
192	3584	216943
193	3443	216887
194	3395	216836
195	3316	216851
196	3265	216750
197	3174	216606
198	3061	216666
199	2984	216639
200	2862	216749
201	2817	216657
202	2789	216952
203	2683	216898
204	2654	217163
205	2606	217327
206	2482	217224
207	2451	217136
208	2377	217106
209	2265	217123
210	2146	217185
211	2052	217357
212	1965	217468
213	1873	217647
214	1775	217633
215	1726	217555
216	1662	217827
217	1620	217962
218	1542	217788
219	1466	217622
220	1405	217473
221	1343	217641
222	1278	217662
223	1232	217523
224	1160	217655
225	1070	217806
226	1000	217516
227	938	217636
228	922	217829
229	841	217610
230	786	217640
231	718	217627
232	647	217687
233	576	217736
234	475	217807
235	394	217839
236	311	217570
237	253	217887
238	211	217843
239	174	217906
240	133	218077
241	106	218407
242	85	218454
243	60	218389
244	45	218160
245	34	218054
246	27	217927
247	20	217987
248	15	218001
249	13	217977
250	9	218141
251	7	218216
252	8	218370
253	6	218434
254	3	218483
255	3	218588
256	3	218366
257	2	218441
258	1	218439
259	0	218503
260	0	218407
261	0	218515
262	0	218363
263	0	218314
264	0	218036
265	0	217894
266	0	217915
267	0	217892
268	0	217752
269	0	217806
270	0	217616
271	0	217660
272	0	217798
273	0	217891
274	0	217769
275	0	218088
276	0	217988
277	0	218231
278	0	218308
279	0	218050
280	0	217941
281	0	218003
282	0	217994
283	0	218085
284	0	218029
285	0	218059
286	0	218205
287	0	218232
288	0	218280
289	0	218139
290	0	218148
291	0	218319
292	0	218276
293	0	218067
294	0	217997
295	0	218116
296	0	218109
