# jours_ecoules 	 nombreTotalContaminesGrippe 	 nombreTotalContaminesAgentPathogene()
1	0	79981
2	0	80183
3	0	85864
4	0	92521
5	0	99447
6	0	106868
7	0	114505
8	0	122588
9	0	131031
10	0	139619
11	0	148433
12	0	157395
13	0	166540
14	0	175717
15	0	184428
16	0	192874
17	0	200425
18	0	207216
19	0	213187
20	0	218065
21	0	221667
22	0	224147
23	0	225805
24	0	226566
25	0	226571
26	0	226079
27	0	225521
28	0	224433
29	0	223593
30	0	222898
31	0	222016
32	0	221219
33	0	220554
34	0	220255
35	0	219669
36	0	219081
37	0	218710
38	0	218556
39	0	218219
40	0	218073
41	0	217964
42	0	217784
43	0	217566
44	0	217466
45	0	217155
46	0	216910
47	0	216981
48	0	217140
49	0	217154
50	0	217433
51	0	217473
52	0	217479
53	0	217492
54	0	217678
55	0	217777
56	0	217875
57	0	218144
58	0	217923
59	0	218097
60	0	218161
61	0	218188
62	0	218298
63	0	218104
64	0	218319
65	0	218266
66	0	218262
67	0	218311
68	0	218409
69	0	218466
70	0	218413
71	0	218277
72	0	218376
73	16	218421
74	25	218397
75	32	218144
76	47	218264
77	67	218334
78	86	218611
79	120	218572
80	154	218501
81	213	218338
82	288	218162
83	378	218123
84	477	218183
85	621	218112
86	771	218346
87	993	218200
88	1227	218035
89	1481	217719
90	1763	217804
91	2088	217964
92	2451	218089
93	2829	217860
94	3243	217866
95	3664	217935
96	4098	217986
97	4513	218067
98	4885	218116
99	5300	217856
100	5687	217618
101	6119	217797
102	6579	217699
103	6955	217672
104	7433	217450
105	7953	217446
106	8490	217466
107	8946	217452
108	9415	217353
109	9756	217389
110	10174	217637
111	10647	217479
112	11032	217620
113	11496	217561
114	11912	217698
115	12418	217680
116	12867	217851
117	13226	217801
118	13524	218011
119	13899	218031
120	14185	217714
121	14452	217890
122	14913	217923
123	15295	217982
124	15724	217828
125	16101	217788
126	16434	217663
127	16814	217660
128	17106	217913
129	17324	217807
130	17478	217833
131	17815	217856
132	18102	218199
133	18342	218365
134	18532	218298
135	18742	218316
136	18828	218399
137	19008	218424
138	19185	218308
139	19500	218443
140	19749	218348
141	19895	218518
142	20149	218335
143	20296	218341
144	20566	218215
145	20703	218325
146	20740	218421
147	20890	218553
148	20784	218592
149	20784	218912
150	20530	218953
151	20435	219172
152	20232	219286
153	19960	219033
154	19823	219072
155	19486	219038
156	19270	219131
157	19273	218939
158	18872	218883
159	18600	218904
160	18332	218788
161	17932	218671
162	17660	218546
163	17246	218533
164	16728	218458
165	16120	218288
166	15458	218101
167	14957	218002
168	14333	217934
169	13714	218072
170	13044	218033
171	12288	218055
172	11561	218042
173	10810	217954
174	10050	217830
175	9167	217791
176	8377	218024
177	7622	218016
178	6873	217741
179	6205	217651
180	5552	217652
181	4982	217425
182	4464	217224
183	3912	217106
184	3438	217146
185	2999	217111
186	2693	217046
187	2386	216965
188	2105	217000
189	1869	217040
190	1611	217112
191	1385	217323
192	1241	216997
193	1045	217154
194	848	217224
195	663	217275
196	513	217291
197	395	217282
198	308	217279
199	238	217186
200	178	217327
201	131	217388
202	97	217374
203	72	217487
204	50	217313
205	40	217630
206	32	217719
207	23	217759
208	15	217920
209	6	218037
210	7	217924
211	5	218104
212	5	218247
213	3	218090
214	3	217981
215	2	218175
216	1	218191
217	0	218216
218	0	218093
219	0	218127
220	0	218105
221	0	217999
222	0	217794
223	0	217858
224	0	217896
225	0	217832
226	0	217588
227	0	217310
228	0	217398
229	0	217318
230	0	217456
231	0	217379
232	0	217292
233	0	217263
234	0	217286
235	0	217299
236	0	217231
237	0	217360
238	0	217437
239	0	217572
240	0	217737
241	0	217729
242	0	217722
243	0	217917
244	0	218098
245	0	218358
246	0	218249
247	0	218274
248	0	217930
249	0	217828
250	0	218075
251	0	218170
252	0	218027
253	0	218013
254	0	218053
255	0	218469
256	0	218568
257	0	218422
258	0	218615
259	0	218569
260	0	218240
261	0	218040
262	0	218103
263	0	217997
264	0	217721
265	0	217527
266	0	217434
267	0	217846
268	0	217640
269	0	217391
270	0	217421
271	0	217320
272	0	217130
273	0	217198
274	0	217129
275	0	217158
276	0	217198
277	0	217261
278	0	217496
279	0	217602
280	0	217753
281	0	217736
282	0	217718
283	0	217894
284	0	217777
285	0	217844
286	0	217801
287	0	217686
288	0	217455
289	0	217558
290	0	217617
291	0	217495
292	0	217645
293	0	217880
294	0	217845
295	0	217657
296	0	217683
297	0	217778
298	0	217777
299	0	217827
300	0	217807
301	0	217792
302	0	217818
303	0	217914
304	0	217982
305	0	218062
306	0	218101
307	0	218157
308	0	218164
309	0	218073
310	0	218017
311	0	218256
312	0	218061
313	0	217924
314	0	217558
315	0	217953
316	0	218110
317	0	218311
318	0	218162
319	0	218167
320	0	218343
321	0	218356
322	0	218373
323	0	218483
324	0	218596
325	0	218547
326	0	218252
327	0	218047
328	0	218091
329	0	217864
330	0	217899
331	0	217864
332	0	217991
333	0	218022
334	0	217963
335	0	217842
336	0	217618
337	0	217514
338	0	217434
339	0	217559
340	0	217461
341	0	217592
342	0	217599
343	0	217561
344	0	217336
345	0	217242
346	0	217373
347	0	217615
348	0	217622
349	0	217844
350	0	217735
351	0	217634
352	0	217685
353	0	217750
354	0	217738
355	0	217749
356	0	217815
357	0	217782
358	0	217898
359	0	217831
360	0	217930
361	0	217649
362	0	217546
363	0	217629
364	0	217647
365	0	217749
366	0	217643
367	0	217625
368	0	217823
369	0	217753
370	0	217718
371	0	217615
372	0	217626
373	0	217826
374	0	217763
375	0	217831
376	0	217640
377	0	217560
378	0	217678
379	0	217808
380	0	217827
381	0	217913
382	0	217913
383	0	217691
384	0	217806
385	0	217736
386	0	217707
387	0	217836
388	0	218013
389	0	218036
390	0	217969
391	0	218050
392	0	218084
393	0	218335
394	0	218302
395	0	218243
396	0	218368
397	0	218250
398	0	218033
399	0	218190
400	0	218135
401	0	218088
402	0	218040
403	0	218310
404	0	218304
405	0	218087
406	0	217824
407	0	217851
408	0	217932
409	0	218084
410	0	217976
411	0	217916
412	0	218091
413	0	217973
414	0	217821
415	0	217801
