# jours_ecoules 	 nombreTotalContaminesGrippe 	 nombreTotalContaminesAgentPathogene()
1	0	79981
2	0	80183
3	0	85864
4	0	92521
5	0	99447
6	0	106868
7	0	114505
8	0	122588
9	0	131031
10	0	139618
11	0	148432
12	0	157396
13	0	166538
14	0	175708
15	0	184438
16	0	192875
17	0	200426
18	0	207216
19	0	213163
20	0	218043
21	0	221633
22	0	224288
23	0	225971
24	0	226757
25	0	226765
26	0	226246
27	0	225591
28	0	224525
29	0	223751
30	0	223193
31	0	222298
32	0	221510
33	0	220793
34	0	220426
35	0	219908
36	0	219617
37	0	219349
38	0	218785
39	0	218643
40	0	218487
41	0	218135
42	0	217989
43	0	217829
44	0	217662
45	0	217466
46	0	217236
47	0	217200
48	0	217143
49	0	217252
50	0	217388
51	0	217459
52	0	217320
53	0	217239
54	0	217303
55	0	217292
56	0	217186
57	0	217092
58	0	217127
59	0	217125
60	0	217452
61	0	217351
62	0	217324
63	0	217266
64	0	217346
65	0	217487
66	0	217414
67	0	217479
68	0	217531
69	0	217488
70	0	217318
71	0	217326
72	0	217428
73	10	217622
74	13	217460
75	16	217414
76	20	217432
77	24	217614
78	35	217643
79	49	217734
80	63	217397
81	89	217357
82	124	217616
83	153	217630
84	210	217802
85	242	217828
86	311	217774
87	395	217731
88	481	217449
89	574	217496
90	677	217622
91	807	217579
92	925	217773
93	1052	217858
94	1164	217941
95	1351	218235
96	1446	218164
97	1628	218255
98	1815	218299
99	1968	218087
100	2136	218003
101	2312	218031
102	2455	218005
103	2644	217937
104	2846	217849
105	3014	217751
106	3222	217495
107	3346	217417
108	3529	217654
109	3637	217573
110	3924	217637
111	4228	217659
112	4415	217733
113	4715	217759
114	4978	217790
115	5206	217716
116	5471	217741
117	5746	217477
118	5966	217404
119	6177	217581
120	6468	217498
121	6631	217516
122	6826	217427
123	7080	217461
124	7257	217491
125	7465	217641
126	7634	217811
127	7934	217846
128	8009	217927
129	8263	217867
130	8496	217796
131	8770	217827
132	8994	217711
133	9257	217950
134	9461	218088
135	9674	218087
136	9951	218124
137	10187	218085
138	10424	218114
139	10662	218151
140	10822	218262
141	11044	218254
142	11167	218265
143	11344	218116
144	11520	218157
145	11719	218380
146	11976	218219
147	12053	218068
148	12238	218084
149	12412	217879
150	12529	217989
151	12820	218139
152	13017	218298
153	13222	218212
154	13360	217928
155	13498	218122
156	13693	218039
157	13828	218073
158	13857	218109
159	13835	218082
160	13943	217869
161	13963	217732
162	14089	217734
163	14097	217835
164	14250	217885
165	14206	217826
166	14214	217897
167	14155	217863
168	14162	217924
169	14219	218025
170	14249	217970
171	14256	217867
172	14209	217793
173	14059	217886
174	14079	217722
175	14098	217721
176	14062	217886
177	13997	217837
178	13957	217829
179	13855	217485
180	13618	217419
181	13445	217354
182	13259	217401
183	13022	217070
184	12848	216779
185	12595	216746
186	12268	216558
187	12029	216499
188	11869	216243
189	11592	216423
190	11307	216467
191	11104	216618
192	10764	216556
193	10443	216590
194	10261	216487
195	10045	216446
196	9856	216546
197	9557	216663
198	9360	216835
199	8990	216809
200	8789	216913
201	8573	217114
202	8454	217131
203	8223	217293
204	8042	217166
205	7763	217450
206	7625	217604
207	7398	217799
208	7274	217656
209	7173	217563
210	7027	217587
211	6868	217887
212	6795	218087
213	6727	218123
214	6516	218222
215	6443	218226
216	6316	217901
217	6069	217798
218	5968	217677
219	5879	217566
220	5620	217650
221	5561	217552
222	5441	217559
223	5296	217637
224	5270	217810
225	5261	217769
226	5207	217708
227	5069	217567
228	4918	217480
229	4879	217331
230	4723	217310
231	4660	217551
232	4483	217784
233	4280	217750
234	4055	217746
235	3932	217433
236	3716	217372
237	3531	217238
238	3314	217560
239	3071	217533
240	2853	217515
241	2608	217802
242	2355	218004
243	2120	218119
244	1875	218133
245	1637	217987
246	1476	218008
247	1315	218060
248	1138	217904
249	962	217833
250	826	217801
251	715	217624
252	615	217630
253	529	217762
254	452	218141
255	380	218176
256	326	218241
257	258	218402
258	197	218423
259	159	218348
260	120	218123
261	85	218022
262	63	217819
263	47	217700
264	34	217788
265	24	217714
266	14	217413
267	10	217614
268	7	217635
269	9	217734
270	8	217868
271	5	217798
272	4	217758
273	3	217727
274	1	217654
275	1	217824
276	1	217612
277	0	217518
278	0	217515
279	0	217588
280	0	217703
281	0	217676
282	0	217965
283	0	218011
284	0	218180
285	0	218051
286	0	218144
287	0	218321
288	0	218323
289	0	218408
290	0	218492
291	0	218293
292	0	218226
293	0	218336
294	0	218492
295	0	218592
296	0	218583
297	0	218546
298	0	218431
299	0	218394
300	0	218422
301	0	218443
302	0	218401
303	0	218438
304	0	218648
305	0	218491
306	0	218150
307	0	218036
308	0	218191
309	0	218231
310	0	218218
311	0	218022
312	0	217980
313	0	217884
314	0	217815
315	0	217838
316	0	217981
317	0	217977
318	0	217891
319	0	218007
320	0	218288
321	0	218170
322	0	218155
323	0	218137
324	0	218162
325	0	218212
326	0	218196
327	0	218073
328	0	217987
329	0	218107
330	0	218179
331	0	218193
332	0	218163
333	0	218079
334	0	217960
335	0	217610
336	0	217586
337	0	217583
338	0	217627
339	0	217535
340	0	217592
341	0	217630
342	0	217649
343	0	217648
344	0	217650
345	0	217655
346	0	217697
347	0	217796
348	0	217526
349	0	217636
350	0	217692
351	0	217809
352	0	217569
353	0	217472
354	0	217358
355	0	217391
356	0	217057
357	0	217191
358	0	217065
359	0	217278
360	0	217306
361	0	217489
362	0	217406
363	0	217354
364	0	217461
365	0	217457
366	0	217593
367	0	217535
368	0	217370
369	0	217169
370	0	217392
371	0	217656
372	0	217879
373	0	217847
374	0	218059
375	0	217913
376	0	218147
377	0	218514
378	0	218572
379	0	218606
380	0	218690
381	0	218465
382	0	218342
383	0	218425
384	0	218435
385	0	218329
386	0	218397
387	0	218297
388	0	218381
389	0	218376
390	0	218172
391	0	218200
392	0	217999
393	0	217901
394	0	217686
395	0	217668
396	0	217587
397	0	217829
398	0	217689
399	0	217733
400	0	217766
401	0	217921
402	0	217808
403	0	217846
404	0	217777
405	0	217805
406	0	217692
407	0	217696
408	0	217696
